lon,lat,vs30,z1pt0,z2pt5,vs30measured,backarc
118.52,-1.48,600,57.5038289642151,0,0,0
118.52,-1.46,600,57.5038289642151,0,0,0
118.52,-1.44,600,57.5038289642151,0,0,0
118.52,-1.42,600,57.5038289642151,0,0,0
118.52,-1.4,600,57.5038289642151,0,0,0
118.52,-1.38,600,57.5038289642151,0,0,0
118.52,-1.36,600,57.5038289642151,0,0,0
118.52,-1.34,600,57.5038289642151,0,0,0
118.52,-1.32,600,57.5038289642151,0,0,0
118.52,-1.3,600,57.5038289642151,0,0,0
118.52,-1.28,600,57.5038289642151,0,0,0
118.52,-1.26,600,57.5038289642151,0,0,0
118.52,-1.24,600,57.5038289642151,0,0,0
118.52,-1.22,600,57.5038289642151,0,0,0
118.52,-1.2,600,57.5038289642151,0,0,0
118.52,-1.18,600,57.5038289642151,0,0,0
118.52,-1.16,600,57.5038289642151,0,0,0
118.52,-1.14,600,57.5038289642151,0,0,0
118.52,-1.12,600,57.5038289642151,0,0,0
118.52,-1.1,600,57.5038289642151,0,0,0
118.52,-1.08,600,57.5038289642151,0,0,0
118.52,-1.06,600,57.5038289642151,0,0,0
118.52,-1.04,600,57.5038289642151,0,0,0
118.52,-1.02,600,57.5038289642151,0,0,0
118.52,-1,600,57.5038289642151,0,0,0
118.52,-0.98,600,57.5038289642151,0,0,0
118.52,-0.96,600,57.5038289642151,0,0,0
118.52,-0.94,600,57.5038289642151,0,0,0
118.52,-0.92,600,57.5038289642151,0,0,0
118.52,-0.9,600,57.5038289642151,0,0,0
118.52,-0.88,600,57.5038289642151,0,0,0
118.52,-0.86,600,57.5038289642151,0,0,0
118.52,-0.84,600,57.5038289642151,0,0,0
118.52,-0.82,600,57.5038289642151,0,0,0
118.52,-0.8,600,57.5038289642151,0,0,0
118.52,-0.78,600,57.5038289642151,0,0,0
118.52,-0.76,600,57.5038289642151,0,0,0
118.52,-0.74,600,57.5038289642151,0,0,0
118.52,-0.72,600,57.5038289642151,0,0,0
118.52,-0.7,600,57.5038289642151,0,0,0
118.52,-0.68,600,57.5038289642151,0,0,0
118.52,-0.66,600,57.5038289642151,0,0,0
118.52,-0.64,600,57.5038289642151,0,0,0
118.52,-0.62,600,57.5038289642151,0,0,0
118.52,-0.6,600,57.5038289642151,0,0,0
118.52,-0.58,600,57.5038289642151,0,0,0
118.52,-0.56,600,57.5038289642151,0,0,0
118.52,-0.54,600,57.5038289642151,0,0,0
118.52,-0.52,600,57.5038289642151,0,0,0
118.52,-0.5,600,57.5038289642151,0,0,0
118.52,-0.48,600,57.5038289642151,0,0,0
118.52,-0.46,600,57.5038289642151,0,0,0
118.52,-0.44,600,57.5038289642151,0,0,0
118.52,-0.42,600,57.5038289642151,0,0,0
118.52,-0.4,600,57.5038289642151,0,0,0
118.52,-0.38,600,57.5038289642151,0,0,0
118.52,-0.36,600,57.5038289642151,0,0,0
118.52,-0.34,600,57.5038289642151,0,0,0
118.52,-0.32,600,57.5038289642151,0,0,0
118.52,-0.3,600,57.5038289642151,0,0,0
118.52,-0.28,600,57.5038289642151,0,0,0
118.52,-0.26,600,57.5038289642151,0,0,0
118.52,-0.24,600,57.5038289642151,0,0,0
118.52,-0.22,600,57.5038289642151,0,0,0
118.52,-0.2,600,57.5038289642151,0,0,0
118.52,-0.18,600,57.5038289642151,0,0,0
118.52,-0.16,600,57.5038289642151,0,0,0
118.52,-0.14,600,57.5038289642151,0,0,0
118.52,-0.12,600,57.5038289642151,0,0,0
118.52,-0.1,600,57.5038289642151,0,0,0
118.52,-0.0800000000000001,600,57.5038289642151,0,0,0
118.52,-0.0600000000000001,600,57.5038289642151,0,0,0
118.52,-0.04,600,57.5038289642151,0,0,0
118.52,-0.02,600,57.5038289642151,0,0,0
118.52,0,600,57.5038289642151,0,0,0
118.52,0.02,600,57.5038289642151,0,0,0
118.52,0.04,600,57.5038289642151,0,0,0
118.52,0.0600000000000001,600,57.5038289642151,0,0,0
